participant_ID,condition,task_numCorrect,taskInput_confidence,taskInput_a,taskInput_b,spatialAbility_score,numeracy_score,age,gender,education,familiar,trained,time_diff_task_solution,time_diff_spatial-part1,time_diff_spatial-part2,taskInput_explanation
hqzj2mvi,control,2,4,20,4,8.75,5,57,male,college,no,no,42065,181000,181001," 4 of 6 who have disease test +
16 of 94 who do not have disease test +
16+4= 20
"
hqzj8z3z,control,1,5,20,6,10.5,3,35,male,professional school,no,no,57545,181812,132575, Since there is only 6 people who are actually have the disease. however the test result shows 4+16=20 persons tested positive. 
hqzq0ixi,control,2,5,20,4,20,5,20,male,college,yes,yes,52964,143298,162779," I added the numbers of those that tested positive to obtain 20, and then I recalled that of the 6 people that have the disease, 4 tested positive (4 have the disease of those that tested positive)."
hqztaa2j,control,1,4,20,6,11.75,3,29,male,professional school,no,no,118047,181094,181045," Well it's written in the text:
(a)Out of 100 people 4 are positive, plus 2 negative, and out of 94 are 16 positive so 16+4=20
(b)""Out of the 100 people in the population, 6 people actually have the disease."""
hqzz37aw,control,2,5,20,4,6.25,5,38,male,high school,no,no,33290,165948,142310,The question is how many people tested positive not have the disease.
hqzwgq4r,control,1,5,20,6,4,3,53,female,graduate school,no,no,98654,181045,181009,"Based on the population of 100, 6 people had the disease.  Of those 6, 4 tested positive.  Out of the other 94 in the original 100, 16 tested positive.  That means that out of 100 people, 20 will test positive but only 6 will have the disease."
hqzih63c,control,0,5,16,6,2.75,5,50,male,high school,no,no,423089,171418,163059, I used a bar graph to help visualize. Could really do it no other way.
hqzkvaxa,control,1,5,20,6,10.25,3,35,female,college,no,no,50000,77265,57231, Added the actual positive people to false positive  people
hqzwz8gn,control,1,5,4,4,6.75,5,45,female,college,no,no,89956,145713,82143,-
hqzz2ybj,control,2,5,20,4,8.75,5,54,male,college,yes,no,47768,181002,181006," I just added up the numbers. 16+4=20, and only 4 have it. The other 2 that have it tested negative."
hqzgz923,control,2,5,20,4,8.75,4,43,female,college,no,no,33432,117837,98735, total 20 will have the positive testing. 4 are actually deseased
hqzyqbvh,control,1,5,16,4,12.5,3,29,female,professional school,yes,no,61282,181113,163665," As said above their are 6 people actually have the disease & out of this only 4 get the positive test result. From the total of 100 their are 94 nos people who didn't have the disease but among them 16 nos people will receive the positive test result. So people who will test positive = 16+4 = 20, people who will actually have the disease & have a test positive result = 6 - 2 = 4"
hqztovph,control,1,5,22,4,3.75,3,32,female,PhD,no,no,10136,181084,30737,Added the 2 positive results together. 
hqzjbg8i,control,2,5,20,4,11.25,5,32,male,college,no,yes,68236,180986,180988," 16 receive a false positive and 4 receive a real positive, giving a total of 20 positive results, with 4 results being accurate"
hqzi5xjk,control,1,5,20,6,15.25,5,36,female,graduate school,no,no,74536,181022,138082,-
hqzhxn9p,control,2,5,20,4,1.5,3,26,female,college,yes,no,14622,104922,73366, Using the numbers given. 
hqzywqxk,control,1,3,20,16,4,3,32,female,graduate school,no,no,122136,58203,70794, Reading the above paragraphs I reached the conclution
hrfhpwur,control,1,3,20,6,6.5,3,42,female,high school,no,no,71320,113085,80175,looked at the numbers.
hrfit0vt,control,1,4,22,4,8.25,3,27,male,college,no,no,120172,181028,181036, I understood that 22 people were tested positive but 4 actually have the disease.
hrfgwj42,control,2,5,20,4,20,5,22,male,high school,no,no,12778,151018,160501, Just used the numbers given above :)
hrfgy6es,control,1,5,20,5,12.75,5,22,male,college,no,no,42472,169963,151345," Using the numbers that you provided, you said that 6 actually has the disease, but only 4 will test positive. And in the no-disease portion, you stated that out of 94 people, 16 will test positive. So in (a) 16+4 = 20. In my first statement, that'll answer (b). "
hrfhgbot,control,2,5,20,4,12.5,5,22,female,college,yes,no,29987,150620,141785,"4+16=20
4 actually have the disease AND tested positive "
hrfct1pp,control,1,4,20,5,15,5,27,male,graduate school,yes,yes,109922,171889,109779,"I applied bayes theorem.

(.06 * 2 / 3) / ((.06 * 2 / 3) + (.94 * .78)) = .05 * 100 = 5"
hrfhmpsl,control,2,5,20,4,15.5,5,27,female,professional school,no,no,52819,181005,129169," It says the population is 100 people. 
4 people that have the disease will test positive for it
16  people that DO not have the disease will test positive for it
16 + 4 = 20 "
hrfiivom,control,1,4,20,6,12.5,6,21,male,college,no,no,151760,179039,148542,It says that out of 100 people in the population 6 people actually have the disease.
hrffr64j,control,2,5,20,4,8.75,5,65,male,graduate school,no,no,65703,181047,181139,"  4 of the actual sick will get positive
  16 of the well will get positive
______ 
  20    positive total"
hrfiymbg,control,0,2,67,23,1.25,5,20,male,college,no,no,135419,181081,172145," I used fractions, I multiplied 4 by 100 because it was asking for how many tested positive and out of 6 only 4 people tested positive. Then I divided 400 by 6 because 6 was the total of people checked or that had the illness, whether receiving a positive or negative result. So basically, 4/6 times X/100 and cross multiplying got me around 67 people and for saying who actually had the disease I mainly guessed."
hrfimgrm,control,2,2,20,4,11.75,4,21,-,college,no,no,46152,181217,181218, I added the number of people who had the disease and tested positive (4) and the number of healthy people but received a positive test result (16).
hrfgcgie,control,1,3,20,20,13.25,5,27,male,college,no,no,74043,181003,180993,"On questions a, It says that 4 people will test positive and 16 people would test positive so thats 20. 

I assume that its the same answer for part b. "
hrffcvnw,control,1,1,20,3,1.25,5,24,female,college,no,no,398307,130730,108410,"I thought about it too much I don't know.

Out of 94, 16 test positive (17%) but out of 6 people who have the disease 4 test positive. It doesn't make sense. Does it?"
hrfgfm6w,control,2,5,20,4,9.75,5,44,female,graduate school,no,no,59496,180995,181003, 4 test posit that have it  16 test positive that don't that equals 20 positives with only 4 being true
hrff6ox4,control,2,5,20,4,5.5,5,30,male,college,no,no,100583,113518,93333,"A. It said 4 people with the disease will test positive, and 16 people without it will test positive.
B. It said 4 people with the disease will test positive.
"
hrfihqol,control,2,5,20,4,6.75,5,23,male,college,yes,no,32784,132506,163863," 4 plus 16 will test positive, 4 of those who actually have the disease."
hrfhm6lg,control,2,4,20,4,6.75,4,29,female,high school,no,no,46800,181099,93524, Because 16 perfectly healthy people will test positive and be wrong. Only 4 of the positive will test positive.
hrfg4kt7,control,2,4,20,4,12.5,5,24,female,graduate school,no,no,30310,170620,161207, I counted how many are said to receive positive results and then looked at how many of the ones who actually have the disease test positive.
hrfg7p2y,control,1,4,4,4,4.25,5,30,male,college,no,no,123862,181142,137989," You asked me how many will test positive, from the reading, it states 4 will test positive.  Then you asked me of the 4 who will actually have the disease, from the reading, it says 6 people have the disease.  My 4 is included in that 6 so all 4 will actually have the disease."
hrfczz4r,control,2,5,20,4,8.25,4,25,male,graduate school,no,no,48512,167530,181018,"There is probability of 4 out of 6 peoples who actually have disease will test .positively And 16 out of 94 of those who don't have disease will test positively. So, 16+4=20 will test positive. But 4 of them will only have the disease."
hrfg6sa9,control,2,5,20,4,14.75,5,24,male,college,yes,no,21073,197274,158904, 4/6 people with the disease will test positive. 16/94 people without the disease will have a false positive result. 4+16=20 total positive tests. Only 4/20 actually have the disease. 
hrfgpzby,control,2,5,20,4,10.75,5,26,male,high school,no,no,111825,181016,181017," 16 + 4 = 20 = Positive Tests

4 = Positive Tests that have it

"
hsm2p3dh,control,2,4,20,4,1.25,4,26,female,college,no,no,17961,66459,45680,-
hsm6y4vo,control,1,5,20,6,11.75,5,27,male,graduate school,no,no,19908,155479,175689, well the paragraph states that 4 people then 16 people in different group will test positive so the sensitivity of the test is not very good.
hsm65gyb,control,1,5,20,6,9.25,5,31,male,college,no,no,55064,181591,152863," You asked how many will test positive - out of 6 people who have the disease 4 will test positive. The rest of the 94 people who don't have the disease 16 of them will test positive anyway. So 20 people will, no matter what, test positive. 

How many actually have the disease is stated right at the beginning. 6 people out of 100."
hsm5ww83,control,2,5,20,4,16.5,5,25,male,college,no,no,19099,180814,167129, Added the positive test results to get 20 and then only 4 were said to actually have the disease.
hsm6vipl,control,0,4,4,6,10.25,2,39,female,college,yes,no,45822,181019,166764, by looking back at the article and re-reading it.
hsm21d38,control,0,4,78,6,-1.25,3,23,male,college,no,no,38486,84424,39029, 
hsm2qi39,control,2,5,20,4,16.25,5,30,male,graduate school,no,no,17722,144816,94631," Out of 100 people, 4 people with the disease will test positive, while 16 without will test positive, bringing the total out of 100 to 20 that will test positive."
